COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M	p_MF	N_M	N_MF
EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	0	1	1	NA	COG1020	GC_00005563, GC_00005919, GC_00006855	1	1	1	1
Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase (Ate1)	0	1	1	NA	COG2935	GC_00006821, GC_00007246	1	1	1	1
Ribosomal protein L32 (RpmF) (PDB:1VS6) (PUBMED:17114934)	0	1	1	NA	COG0333	GC_00000958	1	1	1	1
Rad3-related DNA helicase DinG (DinG) (PDB:5H8W)	0	1	1	NA	COG1199	GC_00000957, GC_00005176, GC_00008067	1	1	1	1
tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA (TruB) (PDB:1K8W)	0	1	1	NA	COG0130	GC_00002947, GC_00006287	1	1	1	1
Transcription antitermination factor NusA, contains S1 and KH domains (NusA) (PDB:1HH2)	0	1	1	NA	COG0195	GC_00000368	1	1	1	1
ABC-type multidrug transport system, permease component (YadH)	0	1	1	NA	COG0842	GC_00001674, GC_00002329, GC_00002583, GC_00007040, GC_00007583, GC_00008308	1	1	1	1
Ketosteroid isomerase homolog YybH (YybH) (PDB:2GXF)	0	1	1	NA	COG4319	GC_00001170, GC_00007093, GC_00008044, GC_00008241	1	1	1	1
Uncharacterized conserved protein, DUF1653 family (PDB:3BE3)	0	1	1	NA	COG4728	GC_00002103, GC_00007284	1	1	1	1
Biopolymer transport protein ExbD (ExbD) (PDB:2JWK)	0	1	1	NA	COG0848	GC_00000970, GC_00000984, GC_00001495, GC_00001559, GC_00001847, GC_00003698, GC_00004069, GC_00005261, GC_00005861, GC_00007622	1	1	1	1
Galactose mutarotase or related enzyme (GalM) (PDB:1LUR)	0	1	1	NA	COG2017	GC_00001555, GC_00003143, GC_00008428	1	1	1	1
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)	0	1	1	NA	COG2199	GC_00000457, GC_00000480, GC_00001564, GC_00002519, GC_00003543, GC_00004052, GC_00005020, GC_00005052, GC_00005572, GC_00005596, GC_00005980, GC_00006078, GC_00006505, GC_00006917, GC_00007201, GC_00007274, GC_00007730, GC_00008088	1	1	1	1
2-methylcitrate dehydratase PrpD (PrpD) (PDB:1SZQ)	0	1	1	NA	COG2079	GC_00001047	1	1	1	1
Predicted esterase of the alpha/beta hydrolase fold (YdeN) (PDB:1UXO) (PUBMED:15159570)	0	1	1	NA	COG3545	GC_00000115, GC_00001220, GC_00005666, GC_00006957	1	1	1	1
Uncharacterized membrane protein YccC (YccC)	0	1	1	NA	COG1289	GC_00001656, GC_00001804, GC_00002610, GC_00003831, GC_00004419, GC_00004889, GC_00007035, GC_00007316	1	1	1	1
UDP-N-acetylmuramyl tripeptide synthase (MurE) (PDB:1E8C)	0	1	1	NA	COG0769	GC_00002476, GC_00002857	1	1	1	1
Uncharacterized conserved protein YaiI, UPF0178 family (YaiI)	0	1	1	NA	COG1671	GC_00001410, GC_00007561	1	1	1	1
Superfamily II DNA and RNA helicase (SrmB) (PDB:3RRM)	0	1	1	NA	COG0513	GC_00000039, GC_00000911, GC_00004078, GC_00004884, GC_00006213, GC_00007315, GC_00007629, GC_00007694	1	1	1	1
Aspartyl-tRNA synthetase (AspS) (PDB:1C0A)	0	1	1	NA	COG0173	GC_00000781	1	1	1	1
Uncharacterized conserved protein, DUF971 family (PDB:2L6N)	0	1	1	NA	COG3536	GC_00006123, GC_00007334	1	1	1	1
Predicted phosphotransferase, aminoglycoside/choline kinase (APH/ChoK) family	0	1	1	NA	COG3178	GC_00004756, GC_00005318	1	1	1	1
NADH dehydrogenase, FAD-containing subunit (Ndh) (PDB:5NA4)	0	1	1	NA	COG1252	GC_00003218, GC_00005573	1	1	1	1
Anaerobic selenocysteine-containing dehydrogenase (BisC) (PDB:1EU1)!!!Bacterioferritin-associated ferredoxin (Bfd) (PDB:6E6R)	0	1	1	NA	COG0243!!!COG2906	GC_00002665, GC_00005780	1	1	1	1
Selenocysteine-specific translation elongation factor SelB (SelB) (PDB:4ZU9)	0	1	1	NA	COG3276	GC_00003508, GC_00003690	1	1	1	1
Negative regulator of flagellin synthesis (anti-sigma28 factor) (FlgM)	0	1	1	NA	COG2747	GC_00007598, GC_00008433	1	1	1	1
Glutamyl- or glutaminyl-tRNA synthetase (GlnS) (PDB:1EUQ)	0	1	1	NA	COG0008	GC_00000316, GC_00001884, GC_00002919, GC_00005603, GC_00008436	1	1	1	1
RseA, negative regulator of sigma E activity (RseA) (PDB:1OR7)	0	1	1	NA	COG3073	GC_00005624, GC_00005652	1	1	1	1
Nucleoside diphosphate kinase (Ndk) (PDB:1B4S)	0	1	1	NA	COG0105	GC_00000788	1	1	1	1
Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	0	1	1	NA	COG0111	GC_00004325, GC_00004818, GC_00005315, GC_00006810, GC_00008003	1	1	1	1
NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) (NuoE) (PDB:5XF9)	0	1	1	NA	COG1905	GC_00000092, GC_00003692, GC_00006087	1	1	1	1
Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain	0	1	1	NA	COG4625	GC_00000053, GC_00004798	1	1	1	1
Ribose 5-phosphate isomerase (RpiA) (PDB:1KS2)	0	1	1	NA	COG0120	GC_00000348	1	1	1	1
Flavodoxin/ferredoxin--NADP reductase (Fpr) (PDB:3OZU)	0	1	1	NA	COG1018	GC_00002047, GC_00002900, GC_00006013	1	1	1	1
DNA-directed RNA polymerase specialized sigma subunit (FliA) (PDB:1RP3)	0	1	1	NA	COG1191	GC_00002673, GC_00004616	1	1	1	1
Fucose 4-O-acetylase or related acetyltransferase (NolL) (PUBMED:21697094)	0	1	1	NA	COG3594	GC_00003838, GC_00006623	1	1	1	1
DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)	0	1	1	NA	COG1733	GC_00001111, GC_00004177, GC_00004330, GC_00004717, GC_00006413	1	1	1	1
Phosphomannomutase (ManB) (PDB:6MNV)	0	1	1	NA	COG1109	GC_00000090, GC_00000796, GC_00004080, GC_00005136	1	1	1	1
DNA polymerase III, gamma/tau subunits (DnaX) (PDB:1A5T)	0	1	1	NA	COG2812	GC_00006422, GC_00006604	1	1	1	1
Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)	0	1	1	NA	COG2764	GC_00003719, GC_00004983, GC_00006092, GC_00007735	1	1	1	1
Succinyl-CoA synthetase, beta subunit (SucC) (PDB:1SCU)	0	1	1	NA	COG0045	GC_00000478	1	1	1	1
Prephenate dehydratase (PheA2) (PDB:1PHZ)!!!Chorismate mutase (PheA) (PDB:1ECM)	0	1	1	NA	COG0077!!!COG1605	GC_00004631, GC_00006871	1	1	1	1
Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (GatB) (PDB:3H0M)	0	1	1	NA	COG0064	GC_00000242	1	1	1	1
Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA (XdhA)	0	1	1	NA	COG4630	GC_00004814, GC_00005073	1	1	1	1
Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family (TauE) (PUBMED:21183667;22797525)	0	1	1	NA	COG0730	GC_00001401, GC_00001576, GC_00001732, GC_00002167, GC_00002259, GC_00002359, GC_00002695, GC_00002740, GC_00002901, GC_00007724, GC_00008170	1	1	1	1
Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases (Cfa) (PDB:5Z9O)	0	1	1	NA	COG2230	GC_00003468, GC_00003800, GC_00004715	1	1	1	1
3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)	0	1	1	NA	COG0122	GC_00000499, GC_00007789	1	1	1	1
Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC (TctC) (PDB:2DVZ)	0	1	1	NA	COG3181	GC_00000559	1	1	1	1
Gentisate 1,2-dioxygenase (PDB:3BU7)	0	1	1	NA	COG3435	GC_00003499, GC_00004691, GC_00007262	1	1	1	1
Phenylalanyl-tRNA synthetase alpha subunit (PheS) (PDB:3L4G)	0	1	1	NA	COG0016	GC_00000327	1	1	1	1
Organic radical activating enzyme NrdG/QueE (QueE) (PUBMED:14660578;17384645)	0	1	1	NA	COG0602	GC_00003507, GC_00004501, GC_00006811	1	1	1	1
tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family (TrmA) (PDB:1UWV)	0	1	1	NA	COG2265	GC_00002008, GC_00002092, GC_00006826	1	1	1	1
High-affinity Fe2+/Pb2+ permease (FTR1)	0	1	1	NA	COG0672	GC_00003536, GC_00006819	1	1	1	1
Uncharacterized conserved protein, Alpha-E superfamily (Alpha-E) (PUBMED:20023723)	0	1	1	NA	COG2307	GC_00002200, GC_00003886	1	1	1	1
Cell division protein FtsB (FtsB) (PDB:4IFF)	0	1	1	NA	COG2919	GC_00005337, GC_00005595	1	1	1	1
DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain (ARO8) (PDB:2R2N)	0	1	1	NA	COG1167	GC_00000313, GC_00001614, GC_00001912, GC_00002840, GC_00002867, GC_00002994, GC_00003032, GC_00003805, GC_00004375, GC_00005329, GC_00005463, GC_00005722, GC_00006309, GC_00006962, GC_00007221, GC_00007470, GC_00007863, GC_00008303, GC_00008316, GC_00008363, GC_00008441	1	1	1	1
Magnetosome formation protein MamQ, lipoprotein antigen LemA family (LemA) (PDB:2ETD) (PUBMED:14638756;20212111;26884433)	0	1	1	NA	COG1704	GC_00003783, GC_00005715, GC_00006916	1	1	1	1
NADH:ubiquinone oxidoreductase subunit 2 (chain N) (NuoN) (PDB:4HE8)	0	1	1	NA	COG1007	GC_00002872, GC_00004224	1	1	1	1
GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA) (MoaA) (PDB:1TV7)	0	1	1	NA	COG2896	GC_00003853, GC_00005597, GC_00006519	1	1	1	1
Predicted periplasmic protein YdeI with OB-fold, BOF family (YdeI) (PDB:1NNX) (PUBMED:15178340)	0	1	1	NA	COG3111	GC_00002534, GC_00008218	1	1	1	1
Fe-S cluster assembly protein CyaY, frataxin homolog (CyaY) (PDB:1EKG)	0	1	1	NA	COG1965	GC_00001960, GC_00003164	1	1	1	1
Cell wall-associated hydrolase, NlpC_P60 family (NlpC) (PDB:2EVR)	0	1	1	NA	COG0791	GC_00001702, GC_00003043, GC_00004780, GC_00007541, GC_00008065	1	1	1	1
Predicted dehydrogenase (MviM) (PDB:3UUW)	0	1	1	NA	COG0673	GC_00002012, GC_00005916, GC_00006028, GC_00007865	1	1	1	1
Enolase (Eno) (PDB:1E9I)	0	1	1	NA	COG0148	GC_00000312	1	1	1	1
Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin) (AhpC) (PDB:2RII)	0	1	1	NA	COG0450	GC_00000020, GC_00000988, GC_00003973	1	1	1	1
UDP-N-acetylmuramyl pentapeptide synthase (MurF) (PDB:4CVK)	0	1	1	NA	COG0770	GC_00001419, GC_00007196	1	1	1	1
Flagellar motor component MotA (MotA)	0	1	1	NA	COG1291	GC_00003272, GC_00007483, GC_00008123	1	1	1	1
Uncharacterized conserved protein, DUF1993 domain (PDB:2OQM)	0	1	1	NA	COG3812	GC_00000711, GC_00001561	1	1	1	1
Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module (SdhE) (PDB:1PUZ)	0	1	1	NA	COG2938	GC_00001266, GC_00007960	1	1	1	1
Signal transduction histidine kinase NtrB, nitrogen specific (NtrB) (PUBMED:23893111)	0	1	1	NA	COG3852	GC_00001262, GC_00007107	1	1	1	1
Molybdopterin synthase sulfur carrier subunit MoaD (MoaD) (PDB:1FM0) (PUBMED:32239579)	0	1	1	NA	COG1977	GC_00003134, GC_00003214, GC_00005207	1	1	1	1
Type IV pilus assembly protein PilN (PilN)	0	1	1	NA	COG3166	GC_00002896, GC_00005805	1	1	1	1
tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain (TrmL) (PDB:4JAK)	0	1	1	NA	COG0219	GC_00000864, GC_00006672	1	1	1	1
N-acetylglutamate kinase (ArgB) (PDB:3S6G)!!!N-acetylglutamate synthase or related acetyltransferase, GNAT family (ArgA) (PDB:2R98)	0	1	1	NA	COG0548!!!COG1246	GC_00003355, GC_00006955	1	1	1	1
Sugar or nucleoside kinase, ribokinase family (RbsK) (PDB:2QCV)	0	1	1	NA	COG0524	GC_00002671, GC_00006791, GC_00007665, GC_00007872, GC_00008010, GC_00008354, GC_00008444	1	1	1	1
Outer membrane protein assembly factor BamA (BamA) (PDB:5EKQ)	0	1	1	NA	COG4775	GC_00003025, GC_00007132	1	1	1	1
dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme (RfbC) (PDB:1DZR)	0	1	1	NA	COG1898	GC_00000317, GC_00003685, GC_00006461	1	1	1	1
Intermembrane transporter PqiABC lipoprotein subunit PqiC (PqiC) (PDB:6OSX) (PUBMED:27795327)	0	1	1	NA	COG3009	GC_00002438, GC_00004286, GC_00007494	1	1	1	1
Predicted Fe-S protein YdhL, DUF1289 family (YdhL)	0	1	1	NA	COG3313	GC_00001359, GC_00003349, GC_00005700, GC_00007106, GC_00007501	1	1	1	1
Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain (TrkA) (PDB:4XTT) (PUBMED:23815639;25957408;31868587;32095817)	0	1	1	NA	COG0569	GC_00002342, GC_00002568	1	1	1	1
Ribosome-associated translation inhibitor RaiA (RaiA) (PDB:1IMU)	0	1	1	NA	COG1544	GC_00002605, GC_00004382, GC_00005472, GC_00006369, GC_00006610	1	1	1	1
Aspartyl/asparaginyl beta-hydroxylase, cupin superfamily (LpxO2)	0	1	1	NA	COG3555	GC_00000233, GC_00003903, GC_00006921	1	1	1	1
Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB (MtnN) (PDB:1T8R) (PUBMED:18801996)	0	1	1	NA	COG0775	GC_00002945, GC_00005031, GC_00005877	1	1	1	1
Monomeric isocitrate dehydrogenase (IcdM) (PDB:1ITW)	0	1	1	NA	COG2838	GC_00000892	1	1	1	1
Dehydrogenase (flavoprotein) (FixC) (PDB:4OPU)	0	1	1	NA	COG0644	GC_00000339, GC_00002925, GC_00005648	1	1	1	1
Translation initiation factor IF-2, a GTPase (InfB) (PDB:5ME0)	0	1	1	NA	COG0532	GC_00000197	1	1	1	1
Thioredoxin/glutathione peroxidase BtuE, reduces lipid peroxides (BtuE) (PDB:2P5Q) (PUBMED:22931285)	0	1	1	NA	COG0386	GC_00000108	1	1	1	1
ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU (HslU) (PDB:1DO0)	0	1	1	NA	COG1220	GC_00000884	1	1	1	1
Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family (DedA) (PUBMED:24312110;25917916)	0	1	1	NA	COG0586	GC_00002410, GC_00002792, GC_00004192, GC_00004779	1	1	1	1
Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain (FumA) (PDB:5L2R)!!!Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain (TtdA) (PDB:5L2R) (PUBMED:15613473)	0	1	1	NA	COG1838!!!COG1951	GC_00000756	1	1	1	1
Imidazoleglycerol phosphate dehydratase HisB (HisB2) (PDB:1RHY)	0	1	1	NA	COG0131	GC_00000402	1	1	1	1
Ribosomal protein L22 (RplV) (PDB:1VS6)	0	1	1	NA	COG0091	GC_00000532	1	1	1	1
Replicative DNA helicase (DnaB) (PDB:1B79)	0	1	1	NA	COG0305	GC_00001150	1	1	1	1
Glycerophosphoryl diester phosphodiesterase (UgpQ) (PDB:1O1Z)	0	1	1	NA	COG0584	GC_00002189, GC_00007443	1	1	1	1
MoxR-like ATPase (MoxR) (PDB:2R44)	0	1	1	NA	COG0714	GC_00000444, GC_00001845, GC_00002065, GC_00008099	1	1	1	1
Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase (PhnP) (PDB:6B9V)	0	1	1	NA	COG1235	GC_00000089, GC_00003481, GC_00006574	1	1	1	1
Exoribonuclease R (VacB) (PDB:6H25)	0	1	1	NA	COG0557	GC_00006396, GC_00006539, GC_00007639	1	1	1	1
ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase (RfaE) (PDB:5X9Q)	0	1	1	NA	COG2870	GC_00001392, GC_00001723, GC_00007717	1	1	1	1
Transposase	0	1	1	NA	COG3547	GC_00000011, GC_00000086, GC_00000105, GC_00000206, GC_00000597, GC_00000932, GC_00001030, GC_00001154, GC_00001957, GC_00003587, GC_00004011, GC_00004546, GC_00004611, GC_00004695, GC_00004786, GC_00005330, GC_00005378, GC_00005884, GC_00005968, GC_00007345, GC_00007500, GC_00007566, GC_00008430	1	1	1	1
Phosphatidylglycerophosphatase A (PgpA) (PDB:1RFZ)	0	1	1	NA	COG1267	GC_00004287, GC_00004703	1	1	1	1
NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X)!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family (FadH) (PDB:1BWK)	0	1	1	NA	COG0493!!!COG1902	GC_00000277	1	1	1	1
Urease gamma subunit (UreA) (PDB:1A5K)	0	1	1	NA	COG0831	GC_00001075	1	1	1	1
Glycine/serine hydroxymethyltransferase (GlyA) (PDB:1BJ4)	0	1	1	NA	COG0112	GC_00000040	1	1	1	1
16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B) (RsmG) (PDB:1XDZ) (PUBMED:15375115;22031445)	0	1	1	NA	COG0357	GC_00001508, GC_00002753	1	1	1	1
Riboflavin synthase alpha chain (RibC) (PDB:1I8D)	0	1	1	NA	COG0307	GC_00008272, GC_00008332	1	1	1	1
Oligoribonuclease (3'-5' exoribonuclease) (Orn) (PDB:1YTA)	0	1	1	NA	COG1949	GC_00000241	1	1	1	1
Pseudouridylate synthase RsuA, specific for 16S rRNA U516  and 23S rRNA U2605 (RsuA) (PDB:1KSK)	0	1	1	NA	COG1187	GC_00000427, GC_00000484, GC_00002495, GC_00004028, GC_00005574, GC_00006351, GC_00008350	1	1	1	1
HrpA-like RNA helicase (HrpA) (PDB:5N8R)	0	1	1	NA	COG1643	GC_00002640, GC_00002921, GC_00003432	1	1	1	1
Flagellar biosynthesis/type III secretory pathway ATPase FliI (FliI) (PDB:5B0O)	0	1	1	NA	COG1157	GC_00000740, GC_00006451	1	1	1	1
Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)	0	1	1	NA	COG0451	GC_00000394, GC_00001318, GC_00002338, GC_00002472, GC_00002633, GC_00002738, GC_00003545, GC_00004355, GC_00004708, GC_00004775, GC_00004807, GC_00006132, GC_00006711, GC_00007481, GC_00007510, GC_00008461	1	1	1	1
Periplasmic regulator RcnB of Ni and Co efflux (RcnB) (PDB:2L1S)	0	1	1	NA	COG5455	GC_00001521, GC_00007303	1	1	1	1
Lipid A disaccharide synthetase (LpxB) (PDB:5W8N)	0	1	1	NA	COG0763	GC_00004698, GC_00007099	1	1	1	1
tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain (MnmA) (PDB:2HMA) (PUBMED:25825430)	0	1	1	NA	COG0482	GC_00000982	1	1	1	1
Heme/copper-type cytochrome/quinol oxidase, subunit 2 (CyoA) (PDB:1CYW)	0	1	1	NA	COG1622	GC_00003590, GC_00006721, GC_00007845	1	1	1	1
Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family (YeaH)	0	1	1	NA	COG2718	GC_00000419	1	1	1	1
Ribonuclease/mRNA interferase VapC, contains PIN domain (VapC) (PDB:3TND)	0	1	1	NA	COG1487	GC_00000424, GC_00000552, GC_00006218	1	1	1	1
Thiol-disulfide isomerase or thioredoxin (TrxA) (PDB:1XFL)	0	1	1	NA	COG0526	GC_00001647, GC_00001971, GC_00003473, GC_00007048, GC_00007667	1	1	1	1
Protein translocase subunit SecG (SecG) (PDB:2AKH)	0	1	1	NA	COG1314	GC_00006893, GC_00007484	1	1	1	1
Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P (CheZ) (PDB:1KMI)	0	1	1	NA	COG3143	GC_00004768, GC_00006960	1	1	1	1
Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist (SrkA) (PDB:1ZYL)	0	1	1	NA	COG2334	GC_00000682, GC_00004155, GC_00004966, GC_00007157	1	1	1	1
Twin-arginine protein secretion pathway component TatC (TatC) (PDB:4B4A)	0	1	1	NA	COG0805	GC_00004012, GC_00004254	1	1	1	1
L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily (UlaG) (PDB:2WYM)	0	1	1	NA	COG2220	GC_00000270, GC_00008121	1	1	1	1
Pyruvate dehydrogenase complex, dehydrogenase (E1) component (AceE) (PDB:1L8A)	0	1	1	NA	COG2609	GC_00000048	1	1	1	1
Flagellar basal body rod protein FlgB (FlgB)	0	1	1	NA	COG1815	GC_00007987, GC_00008431	1	1	1	1
UDP-glucose 4-epimerase (GalE) (PDB:1A9Y)	0	1	1	NA	COG1087	GC_00000895	1	1	1	1
Superoxide dismutase (SodA) (PDB:1AP5)	0	1	1	NA	COG0605	GC_00000253	1	1	1	1
NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC (FlaA1) (PDB:2GN4)	0	1	1	NA	COG1086	GC_00001497, GC_00007965, GC_00007986	1	1	1	1
Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase (MrcB) (PDB:3FWL)	0	1	1	NA	COG0744	GC_00004088, GC_00007012, GC_00007445, GC_00007809	1	1	1	1
NAD/NADP transhydrogenase beta subunit (PntB) (PDB:1D4O)	0	1	1	NA	COG1282	GC_00000512	1	1	1	1
D-alanyl-D-alanine carboxypeptidase (DacC) (PDB:1HD8)	0	1	1	NA	COG1686	GC_00002083, GC_00002547, GC_00003430, GC_00005434	1	1	1	1
DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)	0	1	1	NA	COG1846	GC_00000285, GC_00000469, GC_00001600, GC_00001635, GC_00002541, GC_00002546, GC_00002819, GC_00003103, GC_00003449, GC_00003573, GC_00004111, GC_00004301, GC_00004307, GC_00004443, GC_00005167, GC_00005801, GC_00006534, GC_00006725, GC_00006926, GC_00006941, GC_00007043, GC_00007515, GC_00008284	1	1	1	1
Predicted epimerase YddE/YHI9, PhzF superfamily (YHI9) (PDB:1SDJ) (PUBMED:24914732)	0	1	1	NA	COG0384	GC_00003071, GC_00003656, GC_00003820, GC_00004520, GC_00006525	1	1	1	1
Flagellar biosynthesis GTPase FlhF (FlhF) (PDB:3SYN)	0	1	1	NA	COG1419	GC_00003057, GC_00003127	1	1	1	1
Ribosomal protein L17 (RplQ) (PDB:1GD8)	0	1	1	NA	COG0203	GC_00001097	1	1	1	1
Ribosomal protein S5 (RpsE) (PDB:4V4H)	0	1	1	NA	COG0098	GC_00000432	1	1	1	1
Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY)	0	1	1	NA	COG2352	GC_00002052, GC_00007957	1	1	1	1
Acetoin utilization deacetylase AcuC or a related deacetylase (AcuC) (PDB:1C3P)	0	1	1	NA	COG0123	GC_00004309, GC_00004769, GC_00005752, GC_00005771	1	1	1	1
Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis) (HemX) (PUBMED:26256849)	0	1	1	NA	COG2959	GC_00002087, GC_00002516	1	1	1	1
Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD)	0	1	1	NA	COG0028	GC_00000179, GC_00000289, GC_00000388, GC_00000705, GC_00001823	1	1	1	1
FoF1-type ATP synthase, beta subunit (AtpD) (PDB:3OAA)	0	1	1	NA	COG0055	GC_00000106	1	1	1	1
Cell shape-determining ATPase MreB, actin-like superfamily (MreB) (PDB:1JCE)	0	1	1	NA	COG1077	GC_00001108	1	1	1	1
DNA gyrase/topoisomerase IV, subunit A (GyrA) (PDB:1SUU)	0	1	1	NA	COG0188	GC_00000801, GC_00006814, GC_00007898	1	1	1	1
DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)	0	1	1	NA	COG2197	GC_00000025, GC_00001074, GC_00001572, GC_00001788, GC_00001857, GC_00002168, GC_00002207, GC_00003670, GC_00004141, GC_00004716, GC_00004820, GC_00005425, GC_00005627, GC_00006210, GC_00006222, GC_00006985, GC_00007436, GC_00007502, GC_00007710, GC_00007978, GC_00008019, GC_00008113, GC_00008519, GC_00008523	1	1	1	1
RseB, negative regulator of sigma E activity (RseB) (PDB:2P4B)	0	1	1	NA	COG3026	GC_00003243, GC_00007908	1	1	1	1
Ribosomal protein L4 (RplD) (PDB:1VS6)	0	1	1	NA	COG0088	GC_00003226, GC_00004340	1	1	1	1
ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)	0	1	1	NA	COG0395	GC_00000571, GC_00002891, GC_00003701, GC_00004296, GC_00006702, GC_00007295	1	1	1	1
DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	0	1	1	NA	COG1595	GC_00000956, GC_00001043, GC_00001103, GC_00001358, GC_00002354, GC_00002764, GC_00003165, GC_00003859, GC_00005417, GC_00006500, GC_00007910, GC_00008338, GC_00008513	1	1	1	1
ABC-type branched-chain amino acid transport system, permease component (LivM)	0	1	1	NA	COG4177	GC_00000261, GC_00000399, GC_00000621, GC_00001411, GC_00002163, GC_00002888, GC_00003152, GC_00003666, GC_00004517, GC_00004785, GC_00007734	1	1	1	1
DNA-directed RNA polymerase, beta subunit/140 kD subunit (RpoB) (PDB:5UAJ)	0	1	1	NA	COG0085	GC_00000830	1	1	1	1
Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR)	0	1	1	NA	COG0210	GC_00002708, GC_00004924, GC_00005098, GC_00005248, GC_00005363, GC_00006583, GC_00007343, GC_00007397, GC_00007757	1	1	1	1
Lipopolysaccharide export LptBFGC system, permease protein LptF (LptF) (PDB:6S8H)	0	1	1	NA	COG0795	GC_00001203, GC_00002682, GC_00003229, GC_00005065	1	1	1	1
Ribosomal protein L19 (RplS) (PDB:1VS6) (PUBMED:27941785)	0	1	1	NA	COG0335	GC_00000336	1	1	1	1
Exonuclease III (XthA) (PDB:1AKO)	0	1	1	NA	COG0708	GC_00001878, GC_00005017, GC_00005090, GC_00005756	1	1	1	1
Nitrogen regulatory protein PII (GlnK) (PDB:2GW8) (PUBMED:24610711)	0	1	1	NA	COG0347	GC_00000129	1	1	1	1
3-dehydroquinate synthetase (AroB) (PDB:3ZOK)!!!Shikimate kinase (AroK) (PDB:1E6C)	0	1	1	NA	COG0337!!!COG0703	GC_00000142	1	1	1	1
Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component (YbbA)	0	1	1	NA	COG4181	GC_00000207	1	1	1	1
Membrane-bound lytic murein transglycosylase B (MltB) (PDB:1D0K)	0	1	1	NA	COG2951	GC_00001728, GC_00006715, GC_00007061	1	1	1	1
tRNA nucleotidyltransferase/poly(A) polymerase (PcnB) (PDB:3WFR)	0	1	1	NA	COG0617	GC_00000652, GC_00001537, GC_00004709	1	1	1	1
Forkhead associated (FHA) domain, binds pSer, pThr, pTyr (FHA) (PDB:2FEZ)	0	1	1	NA	COG1716	GC_00001279, GC_00001898	1	1	1	1
